,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
2,2,Double Dhamaal,2011,Indra Kumar,"Farhad Bhiwandiwala (dialogue), Tushar Hiranandani (story & screenplay), Sajid (dialogue)","Sanjay Dutt, Javed Jaffrey, Riteish Deshmukh, Mallika Sherawat",Comedy,Hindi,India,138,543322
14,17,Scream 4,2011,Wes Craven,Kevin Williamson,"Lucy Hale, Roger Jackson, Shenae Grimes-Beech, Dane Farwell",Horror,English,USA,111,38176892
33,37,The Devil's Double,2011,Lee Tamahori,"Michael Thomas, Latif Yahia (books), Emjay Rechsteiner (story)","Dominic Cooper, Ludivine Sagnier, Raad Rawi, Philip Quast",Biography,English,Belgium,109,1357042
40,45,Tales of the Night,2011,Michel Ocelot,Michel Ocelot,"Julien Beramis, Marine Griset, Michel Elias, Olivier Claverie",Animation,French,France,84,7154
42,47,Chillar Party,2011,"Vikas Bahl, Nitesh Tiwari","Vikas Bahl (screenplay), Vijay Maurya, Nitesh Tiwari","Aarav Khanna, Chinmay Chandraunshuh, Divji Handa, Irfan Khan",Comedy,Hindi,India,135,6149
47,53,Gun Hill Road,2011,Rashaad Ernesto Green,"Rashaad Ernesto Green, Zora Howard (poetry)","Esai Morales, Robert Salzman, Ty Jones, Harmony Santana",Drama,English,USA,86,139013
56,63,Ra.One,2011,Anubhav Sinha,"David Benullo, Kanika Dhillon (dialogue), Kanika Dhillon (screenplay), Niranjan Iyengar (dialogue), Shah Rukh Khan (screenplay), Mushtaq Sheikh (screenplay), Anubhav Sinha (story), Anubhav Sinha, Rajshri Sudhakar (Dialogue Writer: Telugu)","Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Shahana Goswami",Action,Hindi,India,156,2509150
59,66,Hall Pass,2011,"Bobby Farrelly, Peter Farrelly","Pete Jones (screenplay), Peter Farrelly (screenplay), Kevin Barnett (screenplay), Bobby Farrelly (screenplay), Pete Jones (story)","Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate",Comedy,English,USA,105,45045037
62,69,The Catechism Cataclysm,2011,Todd Rohal,Todd Rohal (screenplay),"Judy Findlay, Steve Little, Robert Longstreet, Carlos Lopez",Comedy,English,USA,75,1933
66,75,Diana Vreeland: The Eye Has to Travel,2011,"Lisa Immordino Vreeland, Bent-Jorgen Perlmutt(co-director), Frederic Tcheng(co-director)","Lisa Immordino Vreeland, Bent-Jorgen Perlmutt, Frederic Tcheng","Diana Vreeland, Richard Avedon, David Bailey, Lauren Bacall",Documentary,English,USA,86,619054
76,85,Martha Marcy May Marlene,2011,Sean Durkin,Sean Durkin,"Elizabeth Olsen, Christopher Abbott, Brady Corbet, Hugh Dancy",Drama,English,USA,102,2981038
90,100,Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,"Steve Kloves (screenplay), J.K. Rowling (novel)","Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe",Adventure,English,USA,130,381000185
93,103,Singham,2011,Rohit Shetty,"Hari (original story), Yunus Sajawal (screenplay), Sajid (dialogue), Farhad Samji","Ajay Devgn, Kajal Aggarwal, Prakash Raj, Sonali Kulkarni",Action,Hindi,India,143,287458
105,118,A Monster in Paris,2011,Bibo Bergeron,"Bibo Bergeron (screenplay), Bibo Bergeron (story), Stephane Kazandjian (screenplay)","Matthieu Chedid, Vanessa Paradis, Gad Elmaleh, Francois Cluzet",Animation,French,France,90,1043531
118,133,Fast Five,2011,Justin Lin,"Chris Morgan, Gary Scott Thompson (characters)","Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson",Action,English,USA,130,209805005
120,135,War of the Arrows,2011,Han-min Kim,Han-min Kim (screenplay),"Hae-il Park, Seung-ryong Ryu, Mu-Yeol Kim, Chae-won Moon",Action,Korean,South Korea,122,40685
144,166,We Bought a Zoo,2011,Cameron Crowe,"Aline Brosh McKenna (screenplay), Cameron Crowe (screenplay), Benjamin Mee (book)","Matt Damon, Scarlett Johansson, Thomas Haden Church, Colin Ford",Comedy,English,USA,124,72700000
158,182,Sherlock Holmes: A Game of Shadows,2011,Guy Ritchie,"Michele Mulroney, Kieran Mulroney, Arthur Conan Doyle (characters)","Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams",Action,English,USA,129,186830669
160,185,5 Days of War,2011,Renny Harlin,"Mikko Alanne (screenplay), David Battle (based on a screenplay by)","Rupert Friend, Emmanuelle Chriqui, Richard Coyle, Heather Graham",Action,English,Georgia,113,17243
179,207,The Mechanic,2011,Simon West,"Richard Wenk (screenplay), Lewis John Carlino (screenplay), Lewis John Carlino (story)","Jason Statham, Ben Foster, Tony Goldwyn, Donald Sutherland",Action,English,USA,93,29113588
184,212,Delhi Belly,2011,"Abhinay Deo, Akshat Verma","Mr. Moris (screenplay by), Akshat Verma","Imran Khan, Vir Das, Kunaal Roy Kapur, Shenaz Treasury",Action,English,India,103,1531757
190,219,Circumstance,2011,Maryam Keshavarz,Maryam Keshavarz,"Nikohl Boosheri, Sarah Kazemy, Reza Sixo Safai, Soheil Parsa",Drama,Persian,France,107,452602
191,220,Alps,2011,Yorgos Lanthimos,"Efthymis Filippou (screenplay), Yorgos Lanthimos (screenplay)","Angeliki Papoulia, Aris Servetalis, Johnny Vekris, Ariane Labed",Drama,Greek,Greece,93,5571
204,234,Perfect Sense,2011,David Mackenzie,Kim Fupz Aakeson,"Eva Green, Lauren Tempany, Ewan McGregor, Connie Nielsen",Drama,English,UK,92,1567
211,241,The Darkest Hour,2011,Chris Gorak,"Jon Spaihts (screenplay), Leslie Bohem (story), M.T. Ahern (story), Jon Spaihts (story)","Emile Hirsch, Olivia Thirlby, Max Minghella, Rachael Taylor",Action,English,USA,89,21426805
219,250,Just Go with It,2011,Dennis Dugan,"Allan Loeb (screenplay), Timothy Dowling (screenplay), I.A.L. Diamond (screenplay ""Cactus Flower""), Abe Burrows (stage play), Pierre Barillet (French play), Jean-Pierre Gredy (French play)","Adam Sandler, Jennifer Aniston, Nicole Kidman, Nick Swardson",Comedy,English,USA,117,103028109
242,277,Super 8,2011,J.J. Abrams,J.J. Abrams,"Joel Courtney, Jessica Tuck, Joel McKinnon Miller, Ryan Lee",Mystery,English,USA,112,126975169
247,285,Salvation Boulevard,2011,George Ratliff,"Douglas Stone (screenplay), George Ratliff (screenplay), Larry Beinhart (novel)","Jennifer Connelly, Greg Kinnear, Pierce Brosnan, Ed Harris",Action,English,USA,96,27445
248,286,Rascals,2011,David Dhawan,"Sanjay Chhel (screenplay), Yunus Sajawal (dialogue)","Ajay Devgn, Sanjay Dutt, Kangana Ranaut, Lisa Haydon",Action,Hindi,India,128,261156
258,296,The Tree of Life,2011,Terrence Malick,Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken",Drama,English,USA,139,13303319
278,320,Soul Surfer,2011,Sean McNamara,"Sean McNamara (screenplay), Deborah Schwartz (screenplay), Douglas Schwartz (screenplay), Michael Berk (screenplay), Sean McNamara (screen story), Deborah Schwartz (screen story), Douglas Schwartz (screen story), Michael Berk (screen story), Matt Allen (screen story), Caleb Wilson (screen story), Brad Gann (screen story), Bethany Hamilton (book), Sheryl Berk (book), Rick Bundschuh (book)","AnnaSophia Robb, Helen Hunt, Dennis Quaid, Carrie Underwood",Biography,English,USA,112,43853424
279,321,Familiar Grounds,2011,Stephane Lafleur,Stephane Lafleur,"Francis La Haye, Fanny Mallette, Michel Daigle, Sylvain Marcel",Drama,French,Canada,90,43037
284,326,Citizen Gangster,2011,Nathan Morlando,Nathan Morlando,"Scott Speedman, Kelly Reilly, Kevin Durand, Joseph Cross",Crime,English,Canada,105,625
297,339,The Beaver,2011,Jodie Foster,Kyle Killen,"Mel Gibson, Cherry Jones, Jodie Foster, Anton Yelchin",Drama,English,USA,91,900000
302,345,1911,2011,"Li Zhang, Jackie Chan","Xingdong Wang (screenplay), Baoguang Chen (screenplay)","Jackie Chan, Winston Chao, Bingbing Li, Chun Sun",Action,Mandarin,China,121,127437
316,361,The Last Lions,2011,Dereck Joubert,Dereck Joubert,Jeremy Irons,Documentary,English,USA,88,631925
318,363,Judy Moody and the Not Bummer Summer,2011,John Schultz,"Kathy Waugh (screenplay), Megan McDonald (screenplay), Megan McDonald (""Judy Moody"" book series)","Jordana Beatty, Parris Mosteller, Janet Varney, Kristoffer Ryan Winters",Comedy,English,USA,91,15000994
324,369,Hoodwinked Too! Hood vs. Evil,2011,Mike Disa,"Cory Edwards (story), Todd Edwards (story), Tony Leech (story), Cory Edwards (screenplay), Todd Edwards (screenplay), Tony Leech (screenplay), Mike Disa (screenplay), Michael Ludy (punch-up/sketches)","Hayden Panettiere, Glenn Close, Patrick Warburton, Joan Cusack",Animation,English,USA,86,10134754
325,370,Courageous,2011,Alex Kendrick,"Alex Kendrick, Stephen Kendrick","Ken Bevel, Alex Kendrick, Kevin Downes, Renee Jewell",Drama,English,USA,129,34522221
340,385,Found Memories,2011,Julia Murat,"Maria Clara Escobar, Julia Murat, Felipe Sholl","Sonia Guedes, Lisa Favero, Luis Serra, Ricardo Merkin",Drama,Portuguese,Brazil,98,5175
341,387,Young Adult,2011,Jason Reitman,Diablo Cody,"Charlize Theron, Patton Oswalt, Patrick Wilson, Elizabeth Reaser",Comedy,English,USA,94,16295033
