,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
3,3,Gayby,2012,Jonathan Lisecki,Jonathan Lisecki,"Jenn Harris, Anna Margaret Hollyman, Matthew Wilkas, Christian Coulson",Comedy,English,USA,85,8387
4,4,Bol Bachchan,2012,Rohit Shetty,"Yunus Sajawal (screenplay), Sajid (dialogue), Farhad Samji (dialogue)","Amitabh Bachchan, Asin, Ajay Devgn, Abhishek Bachchan",Action,Hindi,India,155,1216258
6,6,Lincoln,2012,Steven Spielberg,"Tony Kushner (screenplay by), Doris Kearns Goodwin (based in part on the book ""Team of Rivals: The Political Genius of Abraham Lincoln"" by)","Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt",Biography,English,USA,150,129477447
46,52,In Our Nature,2012,Brian Savelson,Brian Savelson,"Zach Gilford, Jena Malone, John Slattery, Gabrielle Union",Drama,English,USA,103,6175
51,58,The Guilt Trip,2012,Anne Fletcher,Dan Fogelman,"Barbra Streisand, Seth Rogen, Julene Renee, Zabryna Guevara",Comedy,English,USA,95,37101011
52,59,The Pirates! Band of Misfits,2012,"Peter Lord, Jeff Newitt(co-director)","Gideon Defoe (book), Gideon Defoe (screenplay)","Hugh Grant, Martin Freeman, Imelda Staunton, David Tennant",Animation,English,UK,88,31051126
64,72,Hating Breitbart,2012,Andrew Marcus,Andrew Marcus,"Andrew Breitbart, Orson Bean, Dick Armey, Michele Bachmann",Documentary,English,USA,85,81432
65,73,Stories We Tell,2012,Sarah Polley,"Sarah Polley, Michael Polley (narration)","Michael Polley, Harry Gulkin, Susy Buchan, John Buchan",Documentary,English,Canada,108,1599038
81,91,Jodi Breakers,2012,Ashwini Chaudhary,"Ashwini Chaudhary, Sanyukta Shaikh Chawla","Bipasha Basu, Helen, Pradeep Kharab, Madhavan",Comedy,Hindi,India,127,52618
86,96,My Brother the Devil,2012,Sally El Hosaini,Sally El Hosaini,"James Floyd, Fady Elsayed, Anthony Welsh, Amira Ghazalla",Crime,English,UK,111,10305
100,112,Crazy Eyes,2012,Adam Sherman,"Adam Sherman, Dave Reeves, Rachel Hardisty","Lukas Haas, Madeline Zima, Jake Busey, Tania Raymonde",Comedy,English,USA,95,6106
104,116,Dracula 3D,2012,Dario Argento,"Dario Argento (screenplay), Enrique Cerezo (screenplay), Stefano Piani (screenplay), Bram Stoker (book), Antonio Tentori (screenplay)","Thomas Kretschmann, Marta Gastini, Asia Argento, Unax Ugalde",Horror,English,Italy,110,3085
121,136,End of Watch,2012,David Ayer,David Ayer,"Jake Gyllenhaal, Michael Pena, Natalie Martinez, Anna Kendrick",Action,English,USA,109,39100000
140,160,Imogene,2012,"Shari Springer Berman, Robert Pulcini",Michelle Morgan,"Kristen Wiig, Annette Bening, Matt Dillon, Darren Criss",Comedy,English,USA,103,1378426
153,176,In the House,2012,Francois Ozon,"Juan Mayorga (play), Francois Ozon (screenplay)","Fabrice Luchini, Ernst Umhauer, Kristin Scott Thomas, Emmanuelle Seigner",Comedy,French,France,105,469746
154,177,Beware of Mr. Baker,2012,Jay Bulger,Jay Bulger,"Bob Adcock, Tony Allen, Carmine Appice, Brian Auger",Documentary,English,USA,100,65379
164,190,Shadow Dancer,2012,James Marsh,"Tom Bradby (screenplay), Tom Bradby (based on the novel by)","Barry Barnes, Maria Laird, Ben Smyth, Brid Brennan",Drama,English,UK,101,99134
210,240,Least Among Saints,2012,Martin Papazian,Martin Papazian,"Martin Papazian, Tristan Lake Leabu, Laura San Giacomo, Azura Skye",Crime,English,USA,107,28026
221,252,Looper,2012,Rian Johnson,Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano",Action,English,USA,113,66305045
223,254,Red Tails,2012,Anthony Hemingway,"John Ridley (story), John Ridley (screenplay), Aaron McGruder (screenplay), John B. Holway (book)","Terrence Howard, Cuba Gooding Jr., Nate Parker, David Oyelowo",Action,English,USA,125,49500000
237,271,Pitch Perfect,2012,Jason Moore,"Kay Cannon (screenplay), Mickey Rapkin (based on the book by)","Anna Kendrick, Skylar Astin, Ben Platt, Brittany Snow",Comedy,English,USA,112,61100000
266,306,Chasing Ice,2012,Jeff Orlowski,Mark Monroe,"James Balog, Svavar Jonatansson, Louie Psihoyos, Kitty Boone",Documentary,English,USA,75,1309997
283,325,The Summit,2012,Nick Ryan,Mark Monroe,"Christine Barnes, Hoselito Bite, Walter Bonatti, Marco Confortola",Documentary,English,Ireland,95,140269
304,348,Madagascar 3: Europe's Most Wanted,2012,"Eric Darnell, Tom McGrath, Conrad Vernon","Eric Darnell (screenplay), Noah Baumbach (screenplay), Marc Hyman (collaborating writer), Tom McGrath (characters by), Matt Shire (Punch-Up Writer)","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",Animation,English,USA,93,216366733
306,350,The Magic of Belle Isle,2012,Rob Reiner,Guy Thomas,"Morgan Freeman, Kenan Thompson, Virginia Madsen, Emma Fuhrmann",Comedy,English,USA,109,66433
311,355,Resident Evil: Retribution,2012,Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer",Action,English,Germany,95,42345531
320,365,Fill the Void,2012,Rama Burshtein,Rama Burshtein,"Hadas Yaron, Yiftach Klein, Irit Sheleg, Chayim Sharir",Drama,Hebrew,Israel,90,1130272
328,373,Kalakalappu,2012,Sundar C.,Cable Sankar,"Vimal, Shiva, Anjali, Oviya",Comedy,Tamil,India,135,30949
336,381,Mental,2012,P.J. Hogan,P.J. Hogan,"Rebecca Gibney, Hayley Magnus, Nicole Freeman, Chelsea Bennett",Comedy,English,Australia,116,2202208
342,388,The Company You Keep,2012,Robert Redford,"Lem Dobbs (screenplay by), Neil Gordon (based on the novel by)","Robert Redford, Shia LaBeouf, Julie Christie, Susan Sarandon",Drama,English,USA,125,5132442
346,392,Dabangg 2,2012,Arbaaz Khan,Dilip Shukla,"Salman Khan, Sonakshi Sinha, Prakash Raj, Vinod Khanna",Action,Hindi,India,120,2474674
348,395,In Another Country,2012,Sang-soo Hong,Sang-soo Hong (screenplay),"Isabelle Huppert, Joon-Sang Yoo, Yu-mi Jung, Yuh Jung Youn",Drama,Korean,South Korea,89,22139
352,399,Why Stop Now?,2012,"Phil Dorling, Ron Nyswaner","Phil Dorling (written for the screen by), Ron Nyswaner (written for the screen by), Phil Dorling (source material: 'Predisposed',  a short film written by), Ron Nyswaner (source material: 'Predisposed',  a short film written by)","Jesse Eisenberg, Melissa Leo, Tracy Morgan, Emma Rayne Lyle",Comedy,English,USA,85,1641
359,406,Project X,2012,Nima Nourizadeh,"Matt Drake (screenplay), Michael Bacall (screenplay), Michael Bacall (story)","Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame",Comedy,English,USA,88,53400000
366,414,30 Beats,2012,Alexis Lloyd,Alexis Lloyd,"Condola Rashad, Justin Kirk, Jennifer Tilly, Jason Day",Comedy,English,France,88,14686
381,430,Beyond the Hills,2012,Cristian Mungiu,"Cristian Mungiu (screenplay), Tatiana Niculescu-Bran (inspired by non-fiction novels of)","Cosmina Stratan, Cristina Flutur, Valeriu Andriuta, Dana Tapalaga",Drama,Romanian,Romania,152,71701
385,435,Hellbound?,2012,Kevin Miller,Kevin Miller,"Kevin Miller, Jonathan Phelps, Margie Phelps, Robert McKee",Documentary,English,Canada,84,21920
386,436,Crooked Arrows,2012,Steve Rash,"Brad Riddell, Todd Baird","Brandon Routh, Gil Birmingham, Crystal Allen, Chelsea Ricketts",Drama,English,USA,105,1700000
388,438,Girl in Progress,2012,Patricia Riggen,Hiram Martinez (screenplay),"Eva Mendes, Matthew Modine, Cierra Ramirez, Patricia Arquette",Comedy,English,USA,93,2600000
401,452,Last Ounce of Courage,2012,"Darrel Campbell, Kevin McAfee","Darrel Campbell (book), Darrel Campbell (story), Gina Headrick (story), Richard Headrick (book), Richard Headrick (story)","Marshall R. Teague, Jennifer O'Neill, Rusty Joiner, Fred Williamson",Drama,English,USA,101,3310439
403,454,Grandmaster,2012,B. Unnikrishnan,"Agatha Christie (novel), B. Unnikrishnan","Mohanlal, Priyamani, Babu Antony, Arjun Nandakumar",Mystery,Malayalam,India,100,17077
411,463,Sparkle,2012,Salim Akil,"Mara Brock Akil (screenplay), Joel Schumacher (story), Howard Rosenman (story)","Jordin Sparks, Whitney Houston, Derek Luke, Mike Epps",Drama,English,USA,116,24397469
412,464,Young and Wild,2012,Marialy Rivas,"Marialy Rivas, Pedro Peirano, Sebastian Sepulveda, Camila Gutierrez","Alicia Rodriguez, Aline Kuppenheim, Maria Gracia Omegna, Felipe Pinto",Comedy,Spanish,Chile,96,3798
415,467,The Cold Light of Day,2012,Mabrouk El Mechri,"Scott Wiper, John Petro","Henry Cavill, Veronica Echegui, Bruce Willis, Sigourney Weaver",Action,English,USA,93,3700000
418,471,How to Make Money Selling Drugs,2012,Matthew Cooke,"Matthew Cooke, Grant Jolly (story editor)","Woody Harrelson, Susan Sarandon, 50 Cent, Eminem",Documentary,English,USA,96,15285
428,481,Paulette,2012,Jerome Enrico,"Laurie Aubanel (scenario), Jerome Enrico (dialogue), Jerome Enrico (scenario), Bianca Olsen (original idea), Bianca Olsen (scenario), Cyril Rambour (scenario)","Bernadette Lafont, Carmen Maura, Dominique Lavanant, Francoise Bertin",Comedy,French,France,87,9548
432,485,Dislecksia: The Movie,2012,Harvey Hubbell V,"Eric Gardner, Harvey Hubbell V","Billy Blanks, Sarah Brown, Stephen J. Cannell, Rashad Frett",Documentary,English,USA,83,2213
433,486,California Solo,2012,Marshall Lewy,Marshall Lewy,"Danny Masterson, Robert Carlyle, Kathleen Wilhoite, A Martinez",Drama,English,USA,94,15328
439,492,My Uncle Rafael,2012,Marc Fusco,"Scott Yagemann, Vahik Pirhamzei, Vahik Pirhamzei (characters from the play ""Rafael Keroo Gandzere"")","John Michael Higgins, Missi Pyle, Vahik Pirhamzei, Anthony Clark",Comedy,English,USA,102,210156
440,493,Deadfall,2012,Stefan Ruzowitzky,Zach Dean,"Eric Bana, Olivia Wilde, Charlie Hunnam, Dennis Lafond",Crime,English,France,95,38734
442,495,Universal Soldier: Day of Reckoning,2012,John Hyams,"John Hyams (screenplay), Doug Magnuson (screenplay), Jon Greenhalgh (screenplay), John Hyams (story), Moshe Diamant (story), Richard Rothstein (based on characters created by), Christopher Leitch (based on characters created by)","Jean-Claude Van Damme, Dolph Lundgren, Scott Adkins, Mariah Bonner",Action,English,USA,114,3500
445,499,Liberal Arts,2012,Josh Radnor,Josh Radnor,"Josh Radnor, Elizabeth Olsen, Richard Jenkins, Allison Janney",Comedy,English,USA,97,317190
447,501,China Heavyweight,2012,Yung Chang,Yung Chang,"Zongli He, Yunfei Miao, Moxiang Qi, Ye Xinchun",Documentary,Chinese,Canada,94,10481
460,516,Come Out and Play,2012,Makinov,"Makinov (screenplay), Juan Jose Plans (novel)","Vinessa Shaw, Ebon Moss-Bachrach, Daniel Gimenez Cacho, Gerardo Taracena",Horror,English,Mexico,87,1600
477,535,The Bay,2012,Barry Levinson,"Michael Wallach (screenplay by), Barry Levinson (story by), Michael Wallach (story by)","Nansi Aluka, Christopher Denham, Stephen Kunken, Frank Deal",Horror,English,USA,84,30474
479,537,Passion,2012,Brian De Palma,"Brian De Palma, Natalie Carter (film ""Crime d'amour""), Alain Corneau (film ""Crime d'amour""), Natalie Carter (additional dialogue)","Rachel McAdams, Noomi Rapace, Karoline Herfurth, Paul Anderson",Drama,English,France,102,57741
480,538,An Oversimplification of Her Beauty,2012,Terence Nance,Terence Nance,"Alisa Becher, Jc Cain, Dexter Jones, Namik Minter",Animation,English,USA,84,42308
