,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
0,0,The Family That Preys,2008,Tyler Perry,Tyler Perry,"Alfre Woodard, Sanaa Lathan, Rockmond Dunbar, KaDee Strickland",Drama,English,USA,111,37019849
1,1,Zack and Miri Make a Porno,2008,Kevin Smith,Kevin Smith,"Elizabeth Banks, Seth Rogen, Craig Robinson, Gerry Bednob",Comedy,English,USA,101,31382624
27,31,Tokyo!,2008,"Joon-ho Bong, Leos Carax, Michel Gondry","Gabrielle Bell (graphic novel ""Cecil and Jordan in New York""), Joon-ho Bong, Leos Carax, Michel Gondry","Ayako Fujitani, Ryo Kase, Ayumi Ito, Nao Ohmori",Comedy,Japanese,France,112,300000
31,35,The Brothers Bloom,2008,Rian Johnson,Rian Johnson,"Rachel Weisz, Adrien Brody, Mark Ruffalo, Rinko Kikuchi",Action,English,USA,114,3479844
37,42,Tashan,2008,Vijay Krishna Acharya,"Vijay Krishna Acharya (story), Vijay Krishna Acharya (screenplay), Vijay Krishna Acharya (dialogue)","Akshay Kumar, Saif Ali Khan, Kareena Kapoor, Anil Kapoor",Action,Hindi,India,120,428923
41,46,Four Christmases,2008,Seth Gordon,"Matt Allen (screenplay), Caleb Wilson (screenplay), Jon Lucas (screenplay), Scott Moore (screenplay), Matt Allen (story), Caleb Wilson (story)","Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek",Comedy,English,Germany,88,120100000
91,101,Superhero Movie,2008,Craig Mazin,Craig Mazin,"Drake Bell, Sara Paxton, Christopher McDonald, Leslie Nielsen",Action,English,USA,75,25815447
107,121,The Sisterhood of the Traveling Pants 2,2008,Sanaa Hamri,"Elizabeth Chandler (screenplay), Ann Brashares (novel)","Amber Tamblyn, Alexis Bledel, America Ferrera, Blake Lively",Comedy,English,USA,119,44029972
108,122,The Hurt Locker,2008,Kathryn Bigelow,Mark Boal,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce",Drama,English,USA,131,15700000
112,126,Inkheart,2008,Iain Softley,"David Lindsay-Abaire (screenplay), Cornelia Funke (novel)","Brendan Fraser, Sienna Guillory, Eliza Bennett, Richard Strange",Adventure,English,Germany,106,17281832
114,128,Blindness,2008,Fernando Meirelles,"Jose Saramago (novel), Don McKellar (screenplay)","Yusuke Iseya, Jason Bermingham, Eduardo Semerjian, Don McKellar",Drama,English,Canada,121,3073392
136,156,The Duchess,2008,Saul Dibb,"Jeffrey Hatcher (screenplay), Anders Thomas Jensen (screenplay), Saul Dibb (screenplay), Amanda Foreman (book)","Keira Knightley, Ralph Fiennes, Charlotte Rampling, Dominic Cooper",Biography,English,UK,110,13800000
141,161,Expelled: No Intelligence Allowed,2008,Nathan Frankowski,"Kevin Miller, Ben Stein","Ben Stein, Lili Asvar, Peter Atkins, Hector Avalos",Documentary,English,USA,90,7499617
166,192,"Food, Inc.",2008,Robert Kenner,"Robert Kenner, Elise Pearlstein, Kim Roberts","Eric Schlosser, Richard Lobb, Vince Edwards, Carole Morison",Documentary,English,USA,94,4238694
174,202,Fashion,2008,Madhur Bhandarkar,"Ajay Monga (story and screenplay), Madhur Bhandarkar (story and screenplay), Niranjan Iyengar (dialogue), Anuradha Tiwari (story and screenplay), Sandeep Nath (lyrics), Irfan Siddiqui (lyrics), Ajeet Ghorpade (story and screenplay)","Priyanka Chopra, Kangana Ranaut, Mugdha Godse, Arbaaz Khan",Drama,Hindi,India,167,173551
177,205,You Don't Mess with the Zohan,2008,Dennis Dugan,"Adam Sandler, Robert Smigel, Judd Apatow","Adam Sandler, John Turturro, Emmanuelle Chriqui, Nick Swardson",Comedy,English,USA,113,100018837
183,211,JCVD,2008,Mabrouk El Mechri,"Mabrouk El Mechri (scenario), Frederic Benudis (in collaboration with), Mabrouk El Mechri (adaptation), Frederic Taddei (original idea), Vincent Ravalec (original idea), Christophe Turpin","Jean-Claude Van Damme, Valerie Bodson, Herve Sogne, Rock Chen",Comedy,French,Belgium,97,382923
195,225,The Reader,2008,Stephen Daldry,"David Hare (screenplay), Bernhard Schlink (book)","Ralph Fiennes, Jeanette Hain, David Kross, Kate Winslet",Drama,English,USA,124,34111418
200,230,Drillbit Taylor,2008,Steven Brill,"Kristofor Brown (screenplay), Seth Rogen (screenplay), John Hughes (story), Kristofor Brown (story), Seth Rogen (story)","Nate Hartley, Troy Gentile, Ian Roberts, Owen Wilson",Comedy,English,USA,110,32853640
214,245,Harold & Kumar Escape from Guantanamo Bay,2008,"Jon Hurwitz, Hayden Schlossberg","Jon Hurwitz, Hayden Schlossberg, Jon Hurwitz (characters), Hayden Schlossberg (characters)","John Cho, Kal Penn, Rob Corddry, Jack Conley",Adventure,English,USA,104,38087366
215,246,Krazzy 4,2008,Jaideep Sen,"Ashwani Dhir (screenplay & dialogue), Rakesh Roshan (story)","Juhi Chawla, Irrfan Khan, Arshad Warsi, Rajpal Yadav",Comedy,Hindi,India,110,433472
216,247,The Mummy: Tomb of the Dragon Emperor,2008,Rob Cohen,"Alfred Gough, Miles Millar","Brendan Fraser, Jet Li, Maria Bello, John Hannah",Action,English,USA,112,101600000
220,251,Death Race,2008,Paul W.S. Anderson,"Paul W.S. Anderson (screenplay), Paul W.S. Anderson (screen story), Robert Thom, Charles B. Griffith, Ib Melchior","Jason Statham, Joan Allen, Ian McShane, Tyrese Gibson",Action,English,USA,105,36064910
224,255,Seven Pounds,2008,Gabriele Muccino,Grant Nieporte,"Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy",Drama,English,USA,123,69951824
246,283,Nights in Rodanthe,2008,George C. Wolfe,"Ann Peacock (screenplay), John Romano (screenplay), Nicholas Sparks (novel)","Richard Gere, Diane Lane, Christopher Meloni, Viola Davis",Drama,English,USA,97,41840908
249,287,Where in the World Is Osama Bin Laden?,2008,Morgan Spurlock,"Jeremy Chilnick (screenplay), Morgan Spurlock (screenplay)","Morgan Spurlock, George Bush, Dick Cheney, Daryl Isaacs",Documentary,English,France,90,300000
262,300,Red Cliff,2008,John Woo,"John Woo (screenplay), Khan Chan (screenplay), Cheng Kuo (screenplay), Heyu Sheng (screenplay), Guanzhong Luo (novel)","Tony Chiu-Wai Leung, Takeshi Kaneshiro, Fengyi Zhang, Chen Chang",Action,Mandarin,China,148,526841
264,303,Milk,2008,Gus Van Sant,Dustin Lance Black,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna",Biography,English,USA,128,31716847
268,309,Step Up 2: The Streets,2008,Jon M. Chu,"Toni Ann Johnson, Karen Barna, Duane Adler (characters)","Briana Evigan, Robert Hoffman, Adam Sevani, Cassie Ventura",Drama,English,USA,98,58006147
289,331,Easy Virtue,2008,Stephan Elliott,"Stephan Elliott, Sheridan Jobbins, Noel Coward (play)","Jessica Biel, Ben Barnes, Kristin Scott Thomas, Colin Firth",Comedy,English,UK,97,2600000
296,338,Transporter 3,2008,Olivier Megaton,"Luc Besson, Robert Mark Kamen, Luc Besson (characters), Robert Mark Kamen (characters)","Jason Statham, Natalya Rudakova, Francois Berleand, Robert Knepper",Action,English,France,104,31316973
303,347,Punisher: War Zone,2008,Lexi Alexander,"Nick Santora, Art Marcum, Matt Holloway","Ray Stevenson, Dominic West, Doug Hutchison, Colin Salmon",Action,English,USA,103,7948159
305,349,The Other Boleyn Girl,2008,Justin Chadwick,"Peter Morgan (screenplay), Philippa Gregory (novel)","Natalie Portman, Scarlett Johansson, Eric Bana, Jim Sturgess",Biography,English,UK,115,26800000
319,364,"Welcome Home, Roscoe Jenkins",2008,Malcolm D. Lee,Malcolm D. Lee,"Martin Lawrence, James Earl Jones, Margaret Avery, Joy Bryant",Comedy,English,USA,114,42168445
326,371,The Baader Meinhof Complex,2008,Uli Edel,"Bernd Eichinger (screenplay), Uli Edel (screenplay collaborator), Stefan Aust (book)","Martina Gedeck, Moritz Bleibtreu, Johanna Wokalek, Nadja Uhl",Action,German,Germany,150,296294
335,380,Morning Light,2008,Mark Monroe,"Leslie DeMeuse (conceived by), Roy Edward Disney (conceived by), Mark Monroe, Thomas J. Pollack (based on an original idea by)","Chris Branning, Graham Brant-Zawadzki, Chris Clark, Roy Edward Disney",Documentary,English,USA,97,129295
347,394,Pride and Glory,2008,Gavin O'Connor,"Joe Carnahan (screenplay), Gavin O'Connor (screenplay), Gavin O'Connor (story), Greg O'Connor (story), Robert Hopes (story)","Colin Farrell, Edward Norton, Jon Voight, Noah Emmerich",Crime,English,USA,130,15709385
370,419,The Midnight Meat Train,2008,Ryuhei Kitamura,"Jeff Buhler (screenplay), Clive Barker (short story ""The Midnight Meat Train"")","Bradley Cooper, Leslie Bibb, Brooke Shields, Vinnie Jones",Horror,English,USA,100,34394
371,420,Nim's Island,2008,"Jennifer Flackett, Mark Levin","Joseph Kwong (screenplay), Paula Mazur (screenplay), Mark Levin (screenplay), Jennifer Flackett (screenplay), Wendy Orr (novel)","Abigail Breslin, Jodie Foster, Gerard Butler, Michael Carman",Adventure,English,USA,96,47912652
380,429,Indiana Jones and the Kingdom of the Crystal Skull,2008,Steven Spielberg,"David Koepp (screenplay), George Lucas (story), Jeff Nathanson (story), George Lucas (characters), Philip Kaufman (characters)","Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf",Action,English,USA,122,316957122
413,465,Paris,2008,Cedric Klapisch,Cedric Klapisch,"Fabrice Luchini, Romain Duris, Joffrey Platel, Melanie Laurent",Comedy,French,France,130,1000000
451,505,Kung Fu Panda,2008,"Mark Osborne, John Stevenson","Jonathan Aibel (screenplay), Glenn Berger (screenplay), Ethan Reiff (story), Cyrus Voris (story)","Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane",Animation,English,USA,92,215395021
465,521,Two Lovers,2008,James Gray,"James Gray, Ric Menello","Joaquin Phoenix, Anne Joyce, Elliot Villar, Craig Walker",Drama,English,USA,110,2997417
475,533,The Dark Knight,2008,Christopher Nolan,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",Action,English,USA,152,533316061
491,551,Frozen River,2008,Courtney Hunt,Courtney Hunt,"Melissa Leo, Misty Upham, Charlie McDermott, Michael O'Keefe",Crime,English,USA,97,2061019
492,552,City of Ember,2008,Gil Kenan,"Caroline Thompson (screenplay), Jeanne Duprau (book)","Saoirse Ronan, David Ryall, Harry Treadaway, Mary Kay Place",Adventure,English,USA,90,7800000
496,556,The Lucky Ones,2008,Neil Burger,"Neil Burger, Dirk Wittenborn","Rachel McAdams, Tim Robbins, Michael Pena, Molly Hagan",Comedy,English,USA,115,183088
514,576,The Chronicles of Narnia: Prince Caspian,2008,Andrew Adamson,"Andrew Adamson (screenplay), Christopher Markus (screenplay), Stephen McFeely (screenplay), C.S. Lewis (novel)","Ben Barnes, Georgie Henley, Skandar Keynes, William Moseley",Action,English,USA,150,141614023
521,584,Lakeview Terrace,2008,Neil LaBute,"David Loughery (screenplay), Howard Korder (screenplay), David Loughery (story)","Samuel L. Jackson, Patrick Wilson, Kerry Washington, Ron Glass",Crime,English,USA,110,39263506
590,660,One Missed Call,2008,Eric Valette,"Andrew Klavan (screenplay), Yasushi Akimoto (novel), Minako Daira (screenplay Chakushin ari)","Shannyn Sossamon, Edward Burns, Ana Claudia Talancon, Ray Wise",Horror,English,USA,87,26812746
604,675,Twilight,2008,Catherine Hardwicke,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)","Kristen Stewart, Sarah Clarke, Matt Bushell, Billy Burke",Drama,English,USA,122,191449475
610,681,Flash of Genius,2008,Marc Abraham,"Philip Railsback, John Seabrook (article)","Greg Kinnear, Tim Eddis, Warren Belle, Karl Pruner",Biography,English,Canada,119,4234040
616,687,American Teen,2008,Nanette Burstein,Nanette Burstein,"Jake Tusing, Megan Krizmanich, Colin Clemens, Mitch Reinholt",Documentary,English,USA,95,785817
622,694,Sleep Dealer,2008,Alex Rivera,"Alex Rivera (screenplay), David Riker (screenplay), Alex Rivera (story)","Luis Fernando Pena, Metztli Adamina, Jose Concepcion Macias, Tenoch Huerta",Drama,Spanish,USA,90,35050
631,703,Oorlogswinter,2008,Martin Koolhoven,"Martin Koolhoven (screenplay), Paul Jan Nelissen (screenplay), Jan Terlouw (novel), Mieke de Jong (screenplay)","Martijn Lakemeier, Yorick van Wageningen, Jamie Campbell Bower, Raymond Thiry",Drama,Dutch,Netherlands,103,200000
654,727,In Bruges,2008,Martin McDonagh,Martin McDonagh,"Elizabeth Berrington, Rudy Blomme, Olivier Bonjour, Mark Donovan",Comedy,English,UK,107,7550836
658,732,Saw V,2008,David Hackl,"Patrick Melton (screenplay), Marcus Dunstan (screenplay)","Tobin Bell, Costas Mandylor, Scott Patterson, Betsy Russell",Crime,English,USA,92,56729973
662,736,Hell Ride,2008,Larry Bishop,Larry Bishop,"Julia Jones, Larry Bishop, Leonor Varela, Austin Galuppo",Action,English,USA,84,194287
663,737,Madagascar: Escape 2 Africa,2008,"Eric Darnell, Tom McGrath","Etan Cohen, Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",Animation,English,USA,89,179982968
727,808,Youssou Ndour: I Bring What I Love,2008,Elizabeth Chai Vasarhelyi,Elizabeth Chai Vasarhelyi,"Youssou N'Dour, Peter Gabriel, Moustapha Mbaye, Kabou Gueye",Documentary,French,Senegal,102,32598
731,814,Paris 36,2008,Christophe Barratier,"Christophe Barratier, Christophe Barratier (adaptation), Julien Rappeneau (adaptation), Christophe Barratier (dialogue), Julien Rappeneau (dialogue), Pierre Philippe (dialogue), Frank Thomas (original idea), Reinhardt Wagner (original idea), Jean-Michel Derenne (original idea)","Gerard Jugnot, Clovis Cornillac, Kad Merad, Nora Arnezeder",Drama,French,France,120,812429
741,825,Marley & Me,2008,David Frankel,"Scott Frank (screenplay), Don Roos (screenplay), John Grogan (book)","Owen Wilson, Jennifer Aniston, Eric Dane, Kathleen Turner",Comedy,English,USA,115,143084510
756,841,North Face,2008,Philipp Stolzl,"Chris Silber, Philipp Stolzl, Rupert Henning, Johannes Naber, Benedikt Roeskau (story)","Benno Furmann, Johanna Wokalek, Florian Lukas, Simon Schwarz",Adventure,German,Germany,126,500948
757,842,What Happens in Vegas,2008,Tom Vaughan,Dana Fox,"Cameron Diaz, Ashton Kutcher, Rob Corddry, Lake Bell",Comedy,English,USA,99,80199843
762,847,Kit Kittredge: An American Girl,2008,Patricia Rozema,"Ann Peacock, Valerie Tripp (Kit Kittredge stories)","Abigail Breslin, Julia Ormond, Chris O'Donnell, Jane Krakowski",Drama,English,USA,101,17533514
772,858,Strange Wilderness,2008,Fred Wolf,"Peter Gaulke, Fred Wolf","Steve Zahn, Allen Covert, Jonah Hill, Kevin Heffernan",Adventure,English,USA,87,6515869
785,873,Tokyo Sonata,2008,Kiyoshi Kurosawa,"Kiyoshi Kurosawa (screenplay), Max Mannix, Sachiko Tanaka (screenplay)","Teruyuki Kagawa, Kyoko Koizumi, Yu Koyanagi, Kai Inowaki",Drama,Japanese,Japan,120,103045
819,913,Mid-August Lunch,2008,Gianni Di Gregorio,"Gianni Di Gregorio (story), Simone Riccardini (story), Gianni Di Gregorio (screenplay)","Valeria De Franciscis, Marina Cacciotti, Maria Cali, Grazia Cesarini Sforza",Comedy,Italian,Italy,75,600000
844,941,Ponyo,2008,Hayao Miyazaki,Hayao Miyazaki,"Tomoko Yamaguchi, Kazushige Nagashima, Yuki Amami, George Tokoro",Animation,Japanese,Japan,101,15100000
857,957,The Forbidden Kingdom,2008,Rob Minkoff,John Fusco,"Jet Li, Michael Angarano, Jackie Chan, Juana Collignon",Action,English,USA,104,40044561
887,991,Jumper,2008,Doug Liman,"David S. Goyer (screenplay), Jim Uhls (screenplay), Simon Kinberg (screenplay), Steven Gould (novel)","Hayden Christensen, Jamie Bell, Rachel Bilson, Diane Lane",Action,English,USA,88,80055499
892,997,Leatherheads,2008,George Clooney,"Duncan Brantley, Rick Reilly","John Krasinski, David de Vries, Rick Forrester, Craig S. Harper",Comedy,English,USA,114,31199215
896,1001,Yuvvraaj,2008,Subhash Ghai,"Sachin Bhowmick (screenplay), Subhash Ghai (story,  screenplay & dialogue), Kamlesh Pandey (screenplay)","Salman Khan, Anil Kapoor, Zayed Khan, Mithun Chakraborty",Comedy,Hindi,India,151,565440
899,1004,The X Files: I Want to Believe,2008,Chris Carter,"Frank Spotnitz, Chris Carter, Chris Carter (television series ""The X-Files"")","David Duchovny, Gillian Anderson, Amanda Peet, Billy Connolly",Drama,English,USA,104,20847266
