,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
8,10,The Nutcracker in 3D,2010,Andrey Konchalovskiy,"Andrey Konchalovskiy (screenplay), Chris Solimine (screenplay)","Richard Philipps, Fernanda Dorogi, Kriszta Dorogi, Daniel Mogacs",Action,English,UK,110,200000
9,11,Cats & Dogs: The Revenge of Kitty Galore,2010,Brad Peyton,"Ron J. Friedman, Steve Bencich, John Requa (characters), Glenn Ficarra (characters)","James Marsden, Nick Nolte, Christina Applegate, Katt Williams",Action,English,USA,82,43400000
10,12,A Bottle in the Gaza Sea,2010,Thierry Binisti,"Thierry Binisti, Valerie Zenatti","Agathe Bonitzer, Mahmud Shalaby, Hiam Abbass, Riff Cohen",Drama,Hebrew,France,100,2531
16,19,The 5th Quarter,2010,Rick Bieber,Rick Bieber,"Andie MacDowell, Aidan Quinn, Ryan Merriman, Anessa Ramsey",Biography,English,USA,90,399611
18,22,The Whistleblower,2010,Larysa Kondracki,"Larysa Kondracki, Eilis Kirwan","Rachel Weisz, Vanessa Redgrave, Monica Bellucci, David Strathairn",Action,English,Canada,112,900000
19,23,A Nightmare on Elm Street,2010,Samuel Bayer,"Wesley Strick (screenplay), Eric Heisserer (screenplay), Wesley Strick (story), Wes Craven (characters)","Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy",Crime,English,USA,95,63100000
23,27,What If...,2010,Dallas Jenkins,"Chuck Konzelman, Andrea Gyertson Nasfell, Cary Solomon","Kevin Sorbo, Kristy Swanson, John Ratzenberger, Debby Ryan",Drama,English,USA,111,814348
24,28,Letters to Juliet,2010,Gary Winick,"Jose Rivera, Tim Sullivan","Amanda Seyfried, Marcia DeBonis, Gael Garcia Bernal, Giordano Formenti",Adventure,English,USA,105,53021560
26,30,The American,2010,Anton Corbijn,"Rowan Joffe (screenplay), Martin Booth (novel)","George Clooney, Irina Bjorklund, Lars Hjelm, Bjorn Granath",Crime,English,USA,105,35596227
29,33,Wild Target,2010,Jonathan Lynn,"Lucinda Coxon (screenplay), Pierre Salvadori (film ""Cible emouvante"")","Bill Nighy, Emily Blunt, Rupert Grint, Rupert Everett",Action,English,UK,98,117190
43,48,Nothing to Declare,2010,Dany Boon,"Dany Boon (scenario and dialogue), Yael Boon (collaboration)","Benoit Poelvoorde, Dany Boon, Christel Pedrinelli, Karin Viard",Comedy,French,France,108,153494
49,55,Attenberg,2010,Athina Rachel Tsangari,Athina Rachel Tsangari,"Ariane Labed, Vangelis Mourikis, Evangelia Randou, Yorgos Lanthimos",Drama,Greek,Greece,97,12540
53,60,Trollhunter,2010,Andre Ovredal,Andre Ovredal,"Otto Jespersen, Glenn Erland Tosterud, Johanna Morck, Tomas Alf Larsen",Drama,Norwegian,Norway,103,252652
