,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
12,15,Forever My Girl,2018,Bethany Ashton Wolf,"Bethany Ashton Wolf (screenplay by), Heidi McLaughlin (based on the novel by)","Alex Roe, Jessica Rothe, Abby Ryder Fortson, Travis Tritt",Drama,English,USA,108,16174498
251,289,Den of Thieves,2018,Christian Gudegast,"Christian Gudegast (screenplay by), Christian Gudegast (story by), Paul Scheuring (story by)","Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent",Action,English,USA,140,44680327
291,333,Operation Red Sea,2018,Dante Lam,Ji Feng,"Yi Zhang, Johnny Huang, Hai-Qing, Jiang Du",Action,Mandarin,China,142,1526248
414,466,Burden,2018,Andrew Heckler,Andrew Heckler,"Andrea Riseborough, Garrett Hedlund, Forest Whitaker, Tom Wilkinson",Drama,English,USA,129,18001
518,581,Samson,2018,"Bruce Macdonald, Gabriel Sabloff(co-director)","Jason Baumgardner (story by), Zach Smith (story by), Jason Baumgardner, Zach Smith, Galen Gilbert, Timothy Ratajczak","Taylor James, Billy Zane, Lindsay Wagner, Caitlin Leahy",Action,English,South Africa,110,4436089
623,695,Insidious: The Last Key,2018,Adam Robitel,"Leigh Whannell, Leigh Whannell (based on characters created by)","Lin Shaye, Leigh Whannell, Angus Sampson, Kirk Acevedo",Horror,English,Canada,103,29581355
1025,1144,Peter Rabbit,2018,Will Gluck,"Rob Lieber (screen story by), Will Gluck (screen story by), Rob Lieber (screenplay by), Will Gluck (screenplay by), Beatrix Potter (based on the characters and tales of ""Peter Rabbit"" by)","James Corden, Fayssal Bazzi, Domhnall Gleeson, Sia",Animation,English,USA,95,84060376
1073,1192,Winchester,2018,"Michael Spierig, Peter Spierig","Tom Vaughan, Michael Spierig, Peter Spierig","Helen Mirren, Sarah Snook, Finn Scicluna-O'Prey, Jason Clarke",Biography,English,Australia,99,24553838
1277,1408,The 15:17 to Paris,2018,Clint Eastwood,"Dorothy Blyskal (screenplay by), Anthony Sadler (based on the book by), Alek Skarlatos (based on the book by), Spencer Stone (based on the book by), Jeffrey E. Stern (based on the book by)","Ray Corasani, Alek Skarlatos, Anthony Sadler, Spencer Stone",Biography,English,USA,94,35003216
1688,1850,Bohemian Rhapsody,2018,Bryan Singer,"Anthony McCarten (story by), Peter Morgan (story by), Anthony McCarten (screenplay by)","Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy",Biography,English,UK,134,89604
1757,1921,La Boda de Valentina,2018,Marco Polo Constandse,"Beto Gomez (based on story idea by), Santiago Limon, Issa Lopez","Kate Vernon, Ryan Carnes, Tony Dalton, Marimar Vega",Comedy,Spanish,Mexico,107,2675608
2007,2186,Fifty Shades Freed,2018,James Foley,"Niall Leonard (screenplay by), E.L. James (based on the novel by)","Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",Drama,English,USA,105,95599460
2012,2191,Death Wish,2018,Eli Roth,"Joe Carnahan (screenplay by), Brian Garfield (from the novel by), Wendell Mayes (based on the 1974 motion picture by)","Bruce Willis, Vincent D'Onofrio, Elisabeth Shue, Camila Morrone",Action,English,USA,107,13025000
2512,2713,Annihilation,2018,Alex Garland,"Alex Garland (written for the screen by), Jeff VanderMeer (based on the novel by)","Natalie Portman, Benedict Wong, Sonoya Mizuno, David Gyasi",Adventure,English,UK,115,20636742
2640,2845,The Commuter,2018,Jaume Collet-Serra,"Byron Willinger (story by), Philip de Blasi (story by), Byron Willinger (screenplay by), Philip de Blasi (screenplay by), Ryan Engle (screenplay by)","Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks",Action,English,France,105,36241300
2689,2896,Black Panther,2018,Ryan Coogler,"Ryan Coogler, Joe Robert Cole, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel Comics by)","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",Action,Swahili,USA,134,501105037
