,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
17,21,The Sleepwalker,2014,Mona Fastvold,"Brady Corbet, Mona Fastvold","Gitte Witt, Christopher Abbott, Stephanie Ellis, Brady Corbet",Drama,English,Norway,91,2636
25,29,Ode to My Father,2014,JK Youn,Su-jin Park,"Jung-min Hwang, Yunjin Kim, Dal-su Oh, Jin-young Jung",Drama,Korean,South Korea,126,2300121
35,39,Disco Singh,2014,Anurag Singh,Anurag Singh,"Diljit Dosanjh, Surveen Chawla, B.N. Sharma, Upasna Singh",Comedy,Panjabi,India,141,171610
50,57,Pompeii,2014,Paul W.S. Anderson,"Janet Scott Batchler (screenplay), Lee Batchler (screenplay), Michael Robert Johnson (screenplay)","Kit Harington, Carrie-Anne Moss, Emily Browning, Adewale Akinnuoye-Agbaje",Action,English,Canada,105,19919371
60,67,Velaiilla Pattadhari,2014,Velraj,Velraj,"Dhanush, Saranya Ponvannan, Amala Paul, Samuthirakani",Action,Tamil,India,133,66438
74,83,I Am Ali,2014,Clare Lewins,Clare Lewins,"Muhammad Ali Jnr, Hana Ali, Maryum Ali, Muhammad Ali",Documentary,English,UK,111,4178
95,106,Cesar Chavez,2014,Diego Luna,"Keir Pearson (screenplay), Timothy J. Sexton","Kerry Adra, Maynor Alvarado, Yancey Arias, Wes Bentley",Biography,English,USA,102,5550866
96,108,The Cut,2014,Fatih Akin,"Fatih Akin, Mardik Martin","Tahar Rahim, Simon Abkarian, Makram Khoury, Hindi Zahra",Adventure,Armenian,Germany,138,7803
109,123,The Raid 2,2014,Gareth Evans,Gareth Evans,"Iko Uwais, Arifin Putra, Tio Pakusadewo, Oka Antara",Action,Indonesian,Indonesia,150,2372192
126,145,This Is Where I Leave You,2014,Shawn Levy,"Jonathan Tropper (screenplay), Jonathan Tropper (novel)","Jason Bateman, Tina Fey, Jane Fonda, Adam Driver",Comedy,English,USA,103,26730317
134,154,Lingaa,2014,K.S. Ravikumar,"Pon Kumaran, K.S. Ravikumar","Rajinikanth, Anushka Shetty, Sonakshi Sinha, Jagapathi Babu",Action,Tamil,India,174,171075
135,155,Get on Up,2014,Tate Taylor,"Jez Butterworth (screenplay), John-Henry Butterworth (screenplay), Steven Baigelman (story), Jez Butterworth (story), John-Henry Butterworth (story)","Chadwick Boseman, Nelsan Ellis, Dan Aykroyd, Viola Davis",Biography,English,UK,139,22838662
137,157,Into the Storm,2014,Steven Quale,John Swetnam,"Richard Armitage, Sarah Wayne Callies, Matt Walsh, Max Deacon",Action,English,USA,89,40613055
139,159,Meet the Patels,2014,"Geeta Patel, Ravi Patel","Matthew Hamachek, Billy McMillin, Geeta Patel, Ravi Patel","Ravi Patel, Geeta Patel, Champa V. Patel, Vasant K. Patel",Documentary,English,USA,88,1691439
151,174,Rob the Mob,2014,Raymond De Felitta,Jonathan Fernandez,"Michael Pitt, Nina Arianda, Andy Garcia, Ray Romano",Crime,English,USA,104,206909
173,201,Plastic,2014,Julian Gilbey,"Chris Howard, Sacha Bennett, Julian Gilbey, Will Gilbey","Ed Speleers, Will Poulter, Alfie Allen, Sebastian De Souza",Action,English,UK,102,154441
181,209,Timbuktu,2014,Abderrahmane Sissako,"Abderrahmane Sissako (screenplay), Kessen Tall (screenplay)","Ibrahim Ahmed, Abel Jafri, Toulou Kiki, Layla Walet Mohamed",Drama,French,Mauritania,97,696436
199,229,American Sniper,2014,Clint Eastwood,"Jason Hall, Chris Kyle (book), Scott McEwen (book), Jim DeFelice (book)","Bradley Cooper, Kyle Gallner, Cole Konis, Ben Reed",Action,English,USA,133,274377268
