,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
32,36,Blood: The Last Vampire,2009,Chris Nahon,"Chris Chow (screenplay), Kenji Kamiyama (character), Katsuya Terada (character)","Ji-hyun Jun, Allison Miller, Liam Cunningham, JJ Feild",Action,English,Hong Kong,91,192005
71,80,Terminator Salvation,2009,McG,"John Brancato, Michael Ferris","Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter",Action,English,USA,115,125286889
78,87,City of Life and Death,2009,Chuan Lu,Chuan Lu,"Ye Liu, Yuanyuan Gao, Wei Fan, Lan Qin",Drama,Mandarin,China,133,68767
82,92,Pirate Radio,2009,Richard Curtis,Richard Curtis,"Michael Hadley, Charlie Rowe, Lucy Fleming, Philip Seymour Hoffman",Comedy,English,UK,117,8000000
83,93,Street Fighter: The Legend of Chun-Li,2009,Andrzej Bartkowiak,"Justin Marks (screenplay), Alexandre Dumas (novel)","Kristin Kreuk, Chris Klein, Neal McDonough, Robin Shou",Action,English,Canada,96,8646753
84,94,Youth in Revolt,2009,Miguel Arteta,"Gustin Nash (screenplay), C.D. Payne (novel)","Michael Cera, Portia Doubleday, Jean Smart, Zach Galifianakis",Comedy,English,USA,90,15150933
85,95,Confessions of a Shopaholic,2009,P.J. Hogan,"Tracey Jackson (screenplay), Tim Firth (screenplay), Kayla Alpert (screenplay), Sophie Kinsella (books)","Isla Fisher, Hugh Dancy, Krysten Ritter, Joan Cusack",Comedy,English,USA,104,44239688
103,115,Duplicity,2009,Tony Gilroy,Tony Gilroy,"Clive Owen, Julia Roberts, Tom Wilkinson, Paul Giamatti",Comedy,English,USA,125,40559930
122,138,Chain Letter,2009,Deon Taylor,"Deon Taylor, Michael J. Pagan","Madison Bauer, Mark S. Allen, Phil Austin, Nikki Reed",Horror,English,USA,96,138788
128,147,Hadewijch,2009,Bruno Dumont,Bruno Dumont (scenario and dialogue),"Julie Sokolowski, Karl Sarafidis, Yassine Salime, David Dewaele",Drama,French,France,105,4603
148,170,Get Low,2009,Aaron Schneider,"Chris Provenzano (screenplay), C. Gaby Mitchell (screenplay), Chris Provenzano (story), Scott Seeke (story)","Robert Duvall, Sissy Spacek, Bill Murray, Lucas Black",Drama,English,USA,103,9176469
156,180,All About Steve,2009,Phil Traill,Kim Barker,"Sandra Bullock, Thomas Haden Church, Bradley Cooper, Ken Jeong",Comedy,English,USA,99,33806061
170,198,Underworld: Rise of the Lycans,2009,Patrick Tatopoulos,"Danny McBride (screenplay), Dirk Blackman (screenplay), Howard McCain (screenplay), Len Wiseman (story), Robert Orr (story), Danny McBride (story), Kevin Grevioux (characters), Len Wiseman (characters), Danny McBride (characters)","Michael Sheen, Bill Nighy, Rhona Mitra, Steven Mackintosh",Action,English,USA,92,45802315
171,199,District 9,2009,Neill Blomkamp,"Neill Blomkamp, Terri Tatchell","Sharlto Copley, Jason Cope, Nathalie Boltt, Sylvaine Strike",Action,English,South Africa,112,115646235
175,203,Ninja Assassin,2009,James McTeigue,"Matthew Sand (screenplay), J. Michael Straczynski (screenplay), Matthew Sand (story)","Rain, Joon Lee, Jonathan Chan-Pensley, Ill-Young Kim",Action,English,Germany,99,38105077
187,216,Lebanon,2009,Samuel Maoz,Samuel Maoz,"Yoav Donat, Itay Tiran, Oshri Cohen, Michael Moshonov",Drama,Hebrew,Israel,93,300000
194,224,The Damned United,2009,Tom Hooper,"Peter Morgan (screenplay), David Peace (novel)","Colm Meaney, Henry Goodman, David Roper, Jimmy Reddington",Biography,English,UK,98,315306
207,237,The Young Victoria,2009,Jean-Marc Vallee,Julian Fellowes,"Emily Blunt, Rupert Friend, Paul Bettany, Miranda Richardson",Biography,English,UK,105,10900000
213,244,17 Again,2009,Burr Steers,Jason Filardi,"Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry",Comedy,English,USA,102,64087443
232,266,Julie & Julia,2009,Nora Ephron,"Nora Ephron (screenplay), Julie Powell (book), Julia Child (book), Alex Prud'homme (book)","Meryl Streep, Amy Adams, Stanley Tucci, Chris Messina",Biography,English,USA,118,94125426
236,270,London River,2009,Rachid Bouchareb,"Rachid Bouchareb (screenplay), Olivier Lorelle (screenplay), Zoe Galeron (screenplay)","Brenda Blethyn, Sotigui Kouyate, Sami Bouajila, Roschdy Zem",Drama,English,UK,84,1044
239,274,Shorts,2009,Robert Rodriguez,"Robert Rodriguez, Alvaro Rodriguez (additional story concepts)","Jimmy Bennett, Jake Short, Kat Dennings, Trevor Gagnon",Comedy,English,USA,89,20875468
