,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
22,26,Sweet Bean,2015,Naomi Kawase,"Durian Sukegawa (based on the novel by), Naomi Kawase (screenplay)","Kirin Kiki, Masatoshi Nagase, Kyara Uchida, Miki Mizuno",Drama,Japanese,Japan,113,123231
28,32,Strange Magic,2015,Gary Rydstrom,"David Berenbaum (screenplay by), Irene Mecchi (screenplay by), Gary Rydstrom (screenplay by), George Lucas (story by)","Alan Cumming, Evan Rachel Wood, Elijah Kelley, Meredith Anne Bull",Animation,English,USA,99,10201634
34,38,The Peanuts Movie,2015,Steve Martino,"Craig Schulz (screenplay by), Bryan Schulz (screenplay by), Cornelius Uliano (screenplay by), Charles M. Schulz (based upon the comic strip by)","Trombone Shorty, Rebecca Bloom, Anastasia Bredikhina, Francesca Capaldi",Animation,English,USA,88,106132048
38,43,Francofonia,2015,Aleksandr Sokurov,Aleksandr Sokurov,"Louis-Do de Lencquesaing, Benjamin Utzerath, Vincent Nemeth, Johanna Korthals Altes",Drama,Russian,France,88,290055
58,65,Miss You Already,2015,Catherine Hardwicke,Morwenna Banks,"Drew Barrymore, Shola Adewusi, Toni Collette, Grace Schneider",Comedy,English,UK,112,2895704
61,68,A Man Called Ove,2015,Hannes Holm,"Hannes Holm (screenplay), Fredrik Backman (novel)","Rolf Lassgard, Bahar Pars, Filip Berg, Ida Engvoll",Comedy,Swedish,Sweden,116,3358518
70,79,Our Times,2015,Yu Shan Chen,Yung-Ting Tseng,"Vivian Sung, Talu Wang, Dino Lee, Dewi Chien",Comedy,Mandarin,Taiwan,134,148302
102,114,Thomas & Friends: Sodor's Legend of the Lost Treasure,2015,David Stoten,"Wilbert Awdry (railway series), Britt Allcroft (creator), Andrew Brenner","Mark Moraghan, John Hurt, Eddie Redmayne, Olivia Colman",Animation,English,UK,63,108617
113,127,Faith of Our Fathers,2015,Carey Scott,"Kevin Downes, Carey Scott (screenwriter), Harold Uhl (screenplay), David A.R. White","Kevin Downes, David A.R. White, Stephen Baldwin, Candace Cameron Bure",Drama,English,USA,96,975344
125,144,No Escape,2015,John Erick Dowdle,"John Erick Dowdle, Drew Dowdle","Owen Wilson, Lake Bell, Sterling Jerins, Claire Geare",Action,English,USA,103,27274112
138,158,The Bronze,2015,Bryan Buckley,"Melissa Rauch, Winston Rauch","Melissa Rauch, Gary Cole, Thomas Middleditch, Sebastian Stan",Comedy,English,USA,100,614920
143,165,Lazer Team,2015,Matt Hullum,"Burnie Burns (story), Burnie Burns (screenplay), Chris Demarais (screenplay), Josh Flanagan (screenplay), Matt Hullum (screenplay)","Burnie Burns, Gavin Free, Michael Jones, Colton Dunn",Action,English,USA,102,1149878
146,168,Goosebumps,2015,Rob Letterman,"Darren Lemke (screenplay by), Scott Alexander (story by), Larry Karaszewski (story by), R.L. Stine (based on the ""Goosebumps"" books written by)","Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee",Adventure,English,USA,103,76079946
162,188,The Hunger Games: Mockingjay - Part 2,2015,Francis Lawrence,"Peter Craig (screenplay), Danny Strong (screenplay), Suzanne Collins (adaptation), Suzanne Collins (novel)","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",Action,English,Germany,137,254641329
176,204,In the Heart of the Sea,2015,Ron Howard,"Charles Leavitt (screenplay), Charles Leavitt (story), Rick Jaffa (story), Amanda Silver (story), Nathaniel Philbrick (book)","Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson",Action,English,USA,122,19043843
180,208,The Hateful Eight,2015,Quentin Tarantino,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",Crime,English,USA,187,54116191
186,215,Top Cat Begins,2015,Andres Couturier,"James Krieg (screenplay by), Doug Langdale (screenplay by), Jorge Ramirez Suarez (screenplay by)","Jason Harris, Chris Edgerly, Bill Lobley, Matthew Piazzi",Animation,Spanish,Mexico,89,139568
193,223,Cop Car,2015,Jon Watts,"Jon Watts, Christopher Ford","Kevin Bacon, James Freedson-Jackson, Hays Wellford, Camryn Manheim",Crime,English,USA,88,128002
196,226,Jurassic World,2015,Colin Trevorrow,"Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Colin Trevorrow (screenplay by), Derek Connolly (screenplay by), Rick Jaffa (story by), Amanda Silver (story by), Michael Crichton (based on the characters created by)","Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio",Action,English,USA,124,528757749
198,228,Sworn Virgin,2015,Laura Bispuri,"Elvira Dones (novel), Laura Bispuri (screenplay), Francesca Manieri (screenplay)","Alba Rohrwacher, Emily Ferratello, Lars Eidinger, Flonja Kodheli",Drama,Albanian,Italy,84,4235
201,231,Macbeth,2015,Justin Kurzel,"Todd Louiso (screenplay), Jacob Koskoff (screenplay), Michael Lesslie (screenplay), William Shakespeare (play)","Jack Madigan, Frank Madigan, Michael Fassbender, Marion Cotillard",Drama,English,UK,113,1795802
