,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
5,5,Despicable Me 2,2013,"Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove",Animation,English,USA,98,368049635
15,18,Wolf Creek 2,2013,Greg McLean,"Greg McLean, Aaron Sterns","John Jarratt, Ryan Corr, Shannon Ashlyn, Philippe Klaus",Action,English,Australia,106,3448656
45,50,These Final Hours,2013,Zak Hilditch,Zak Hilditch,"Jessica De Gouw, Nathan Phillips, David Field, Lauren Cleary",Drama,English,Australia,87,206727
75,84,Lone Survivor,2013,Peter Berg,"Peter Berg, Marcus Luttrell (book), Patrick Robinson (book)","Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",Action,English,USA,121,97665254
88,98,Adore,2013,Anne Fontaine,"Anne Fontaine (screenplay), Christopher Hampton (story), Anne Fontaine (story), Doris Lessing (book)","Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville",Drama,English,Australia,112,200000
97,109,Canopy,2013,Aaron Wilson,Aaron Wilson,"Khan Chittenden, Morning Tzu-Yi Mo, Robert Menzies, Edwina Wren",Adventure,English,Australia,84,8462
98,110,Fading Gigolo,2013,John Turturro,John Turturro,"John Turturro, Woody Allen, Vanessa Paradis, Liev Schreiber",Comedy,English,USA,90,3179352
106,120,Kill Your Darlings,2013,John Krokidas,"Austin Bunn (screenplay), Austin Bunn (story), John Krokidas (screenplay)","Daniel Radcliffe, Dane DeHaan, Michael C. Hall, Jack Huston",Biography,English,USA,104,679958
119,134,The Hunger Games: Catching Fire,2013,Francis Lawrence,"Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel)","Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair",Action,English,USA,146,336663349
123,141,Identity Thief,2013,Seth Gordon,"Craig Mazin (screenplay), Jerry Eeten (story), Craig Mazin (story)","Jason Bateman, Melissa McCarthy, Jon Favreau, Amanda Peet",Adventure,English,USA,111,134455175
