,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
1439,1581,Mechanic: Resurrection,2016,Dennis Gansel,"Lewis John Carlino (based upon the characters created by), Philip Shelby (story by), Philip Shelby (screenplay by), Tony Mosher (screenplay by)","Jason Statham, Jessica Alba, Tommy Lee Jones, Michelle Yeoh",Action,English,France,98,21203260
1449,1592,The Beatles: Eight Days a Week - The Touring Years,2016,Ron Howard,"Mark Monroe, P.G. Morgan (story consultant)","The Beatles, John Lennon, George Harrison, Paul McCartney",Documentary,English,USA,106,2930414
1452,1595,Beta Test,2016,Nicholas Gyeney,"Nicholas Gyeney (story), Nicholas Gyeney, Andre Kirkman (assistant writer)","Manu Bennett, Larenz Tate, Linden Ashby, Kevon Stover",Action,English,USA,88,8966
1461,1606,Ae Dil Hai Mushkil,2016,Karan Johar,"Karan Johar (story and screenplay), Karan Johar (dialogue), Niranjan Iyengar (dialogue)","Ranbir Kapoor, Aishwarya Rai Bachchan, Anushka Sharma, Fawad Khan",Drama,Hindi,India,158,4237741
1470,1615,Officer Downe,2016,Shawn Crahan,"Joe Casey (graphic novel), Chris Burnham (graphic novel), Joe Casey (screenplay)","Kim Coates, Tyler Ross, Luna Lauren Velez, Sona Eyambe",Action,English,USA,88,734
1490,1636,The King's Choice,2016,Erik Poppe,"Harald Rosenlow-Eeg, Jan Trygve Royneland","Jesper Christensen, Anders Baasmo Christiansen, Karl Markovics, Tuva Novotny",Biography,Norwegian,Norway,133,113231
1518,1670,Norman,2016,Joseph Cedar,Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen, Steve Buscemi",Drama,English,Israel,118,3814868
1526,1678,A Beautiful Planet,2016,Toni Myers,Toni Myers,Jennifer Lawrence,Documentary,English,USA,46,7437581
1531,1683,Baaghi,2016,Sabir Khan,"Shifuji Shaurya Bharadwaj (Wrote all of his own dialogue), Sanjeev Datta","Shraddha Kapoor, Tiger Shroff, Sudheer Babu Posani, Paras Arora",Action,Hindi,India,133,436055
1536,1689,I Belonged to You,2016,Yibai Zhang,Jiajia Zhang,"Chao Deng, Tian'Ai Zhang, Baihe Bai, Yang Yang",Drama,Chinese,China,112,744033
1537,1690,Sing,2016,"Garth Jennings, Christophe Lourdelet(co-director)",Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson",Animation,English,Japan,108,270322940
1550,1704,Moonlight,2016,Barry Jenkins,"Barry Jenkins (screenplay by), Tarell Alvin McCraney (story by)","Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",Drama,English,USA,111,27850910
1554,1708,Dawson City: Frozen Time,2016,Bill Morrison,Bill Morrison,"Kathy Jones-Gates, Michael Gates, Sam Kula, Bill O'Farrell",Documentary,English,USA,120,122207
1557,1711,Staying Vertical,2016,Alain Guiraudie,Alain Guiraudie (screenplay),"Damien Bonnard, India Hair, Raphael Thiery, Christian Bouillette",Comedy,French,France,98,11747
1559,1713,Cold War II,2016,"Lok Man Leung, Kim-Ching Luk","Lok Man Leung, Kim-Ching Luk, Wai Lun Ng","Aaron Kwok, Tony Ka Fai Leung, Yun-Fat Chow, Charlie Yeung",Action,Cantonese,Hong Kong,110,553754
1566,1720,Little Men,2016,Ira Sachs,"Ira Sachs, Mauricio Zacharias","Greg Kinnear, Jennifer Ehle, Paulina Garcia, Michael Barbieri",Drama,English,USA,85,702191
1569,1723,Now You See Me 2,2016,Jon M. Chu,"Ed Solomon (screenplay by), Ed Solomon (story by), Peter Chiarelli (story by), Boaz Yakin (based on characters created by), Edward Ricourt (based on characters created by)","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco",Action,English,France,129,65030563
1571,1725,The Jungle Book,2016,Jon Favreau,"Justin Marks (screenplay by), Rudyard Kipling (based on the books by)","Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",Adventure,English,UK,106,363995937
1589,1745,Dangal,2016,Nitesh Tiwari,"Piyush Gupta, Shreyas Jain, Nikhil Mehrotra, Rajshri Sudhakar (Dialogue Writer: Telugu), Nitesh Tiwari","Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra, Sakshi Tanwar",Action,Hindi,India,161,12382287
1605,1761,The Boy,2016,William Brent Bell,Stacey Menear,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton",Horror,English,China,97,30196680
1618,1776,Goat,2016,Andrew Neel,"David Gordon Green, Brad Land (memoir), Andrew Neel, Mike Roberts","Ben Schnetzer, Nick Jonas, Gus Halper, Danny Flaherty",Drama,English,USA,96,23020
1622,1781,The Transfiguration,2016,Michael O'Shea,Michael O'Shea,"Eric Ruffin, Karin Cherches, Luis Scott, Dangelo Bonneli",Drama,English,USA,97,21926
1654,1815,Nine Lives,2016,Barry Sonnenfeld,"Gwyn Lurie, Matt Allen, Caleb Wilson, Dan Antoniazzi, Ben Shiffrin","Kevin Spacey, Jennifer Garner, Robbie Amell, Cheryl Hines",Comedy,English,France,87,19637449
1668,1830,My Life as a Zucchini,2016,Claude Barras,"Celine Sciamma (screenplay writer), Germano Zullo (contributing writer), Claude Barras (contributing writer), Morgan Navarro (contributing writer), Gilles Paris (novel), Michael Sinterniklaas (english script adaptation), Christian La Monte (english script adaptation)","Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud, Michel Vuillermoz",Animation,French,Switzerland,70,279912
1683,1845,"Life, Animated",2016,Roger Ross Williams,Ron Suskind (based on the book by),"Owen Suskind, Ron Suskind, Cornelia Suskind, Walter Suskind",Documentary,English,USA,92,244031
1694,1856,Doctor Strange,2016,Scott Derrickson,"Jon Spaihts, Scott Derrickson, C. Robert Cargill, Stan Lee (based on the Marvel comics by), Steve Ditko (based on the Marvel comics by)","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",Action,English,USA,115,232630718
1714,1876,Underworld: Blood Wars,2016,Anna Foerster,"Cory Goodman (screenplay by), Kyle Ward (story by), Cory Goodman (story by), Kevin Grevioux (based on characters created by), Len Wiseman (based on characters created by), Danny McBride (based on characters created by)","Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver",Action,English,USA,91,30348260
1735,1898,Don't Breathe,2016,Fede Alvarez,"Fede Alvarez, Rodo Sayagues","Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",Crime,English,USA,88,89210468
1767,1931,The Comedian,2016,Taylor Hackford,"Art Linson (screenplay by), Jeffrey Ross (screenplay by), Richard LaGravenese (screenplay by), Lewis Friedman (screenplay by), Art Linson (story by)","Robert De Niro, Leslie Mann, Harvey Keitel, Edie Falco",Comedy,English,USA,120,1658706
1773,1939,Sanam Teri Kasam,2016,"Radhika Rao, Vinay Sapru","Radhika Rao, Vinay Sapru","Harshvardhan Rane, Mawra Hocane, Vijay Raaz, Murli Sharma",Drama,Hindi,India,154,22121
1777,1943,Zootopia,2016,"Byron Howard, Rich Moore, Jared Bush(co-director)","Byron Howard (story by), Rich Moore (story by), Jared Bush (story by), Jim Reardon (story by), Josie Trinidad (story by), Phil Johnston (story by), Jennifer Lee (story by), Jared Bush (screenplay by), Phil Johnston (screenplay by)","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",Animation,English,USA,108,341264012
1786,1952,Rules Don't Apply,2016,Warren Beatty,"Warren Beatty (screenplay by), Warren Beatty (story by), Bo Goldman (story by)","Steve Tom, Paul Sorvino, Peter Mackenzie, Ivar Brogger",Comedy,English,USA,127,3647836
1795,1962,Kapoor & Sons,2016,Shakun Batra,"Shakun Batra, Ayesha DeVitre","Sidharth Malhotra, Fawad Khan, Alia Bhatt, Rajat Kapoor",Comedy,Hindi,India,132,2261473
1798,1965,The Skyjacker's Tale,2016,Jamie Kastner,Jamie Kastner,"Ishmael Muslim Ali, Daniela Biz, Tainya-Sue Brown, Isabella Carr",Documentary,English,Canada,75,6253
1804,1972,Birth of the Dragon,2016,George Nolfi,"Stephen J. Rivele, Christopher Wilkinson, Michael Dorgan (based on the article ""Bruce Lee's Toughest Fight"" by)","Yu Xia, Wang Xi'An, Hai Yu, Yue Wu",Action,English,China,95,6895695
1809,1977,Cezanne et Moi,2016,Daniele Thompson,Daniele Thompson (scenario),"Guillaume Canet, Guillaume Gallienne, Alice Pol, Deborah Francois",Biography,French,Belgium,117,257109
1825,1995,The Wasted Times,2016,Er Cheng,Er Cheng,"You Ge, Ziyi Zhang, Tadanobu Asano, Chun Du",Drama,Mandarin,China,125,239256
1844,2014,Denial,2016,Mick Jackson,"Deborah Lipstadt (based on the book ""History on Trial: My Day in Court with a Holocaust Denier"" by), David Hare (screenplay by)","Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott",Biography,English,UK,109,4060197
1846,2016,Ice Age: Collision Course,2016,"Mike Thurmeier, Galen T. Chu(co-director)","Michael J. Wilson (screenplay), Michael Berg (screenplay), Yoni Brenner (screenplay), Aubrey Solomon (story)","Stephanie Beatriz, Robert Cardone, Neil deGrasse Tyson, Adam Devine",Animation,English,USA,94,64060187
1855,2025,Rustom,2016,Dharmendra Suresh Desai,Vipul K. Rawal,"Akshay Kumar, Ileana D'Cruz, Esha Gupta, Manoj Bajpayee",Crime,English,India,148,207263
1877,2050,A Monster Calls,2016,J.A. Bayona,"Patrick Ness (screenplay by), Patrick Ness (based upon the novel written by), Siobhan Dowd (from an original idea by)","Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell",Animation,English,UK,108,3730982
1880,2053,Collide,2016,Eran Creevy,"F. Scott Frazier (screenplay by), Eran Creevy (screenplay by), F. Scott Frazier (story by)","Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley",Action,English,UK,99,2196654
1887,2060,Kevin Hart: What Now?,2016,"Leslie Small, Tim Story","Kevin Hart, Joey Wells, Harry Ratchford, Kevin Hart (""Casino"" segment story by), Brian Buccellato (""Casino"" segment written by)","Kevin Hart, Halle Berry, Don Cheadle, Ed Helms",Documentary,English,USA,96,23564630
1927,2102,Friend Request,2016,Simon Verhoeven,"Matthew Ballen, Philip Koch, Simon Verhoeven","Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan",Horror,English,Germany,92,3758792
1934,2109,The Death of Louis XIV,2016,Albert Serra,"Thierry Lounas (scenario), Albert Serra (scenario)","Jean-Pierre Leaud, Patrick d'Assumcao, Marc Susini, Bernard Belin",Biography,Latin,France,115,43635
1936,2111,Kicks,2016,Justin Tipping,"Joshua Beirne-Golden, Justin Tipping","Jahking Guillory, Christopher Jordan Wallace, Christopher Meyer, Kofi Siriboe",Adventure,English,USA,80,145368
1940,2115,The Conjuring 2,2016,James Wan,"Chad Hayes (screenplay by), Carey W. Hayes (screenplay by), James Wan (screenplay by), David Leslie Johnson-McGoldrick (screenplay by), Chad Hayes (story by), Carey W. Hayes (story by), James Wan (story by), Chad Hayes (based on characters created by), Carey W. Hayes (based on characters created by)","Patrick Wilson, Vera Farmiga, Madison Wolfe, Frances O'Connor",Horror,English,Canada,134,102461593
1942,2117,Alive and Kicking,2016,Susan Glatzer,"Susan Glatzer, Heidi Zimmerman (co writer)","Hilary Alexander, Evita Arce, Kimberly Clever, Sharon Davis",Documentary,English,Sweden,88,67591
1949,2124,Fences,2016,Denzel Washington,"August Wilson (screenplay by), August Wilson (based upon his play ""Fences"")","Denzel Washington, Viola Davis, Stephen McKinley Henderson, Jovan Adepo",Drama,English,USA,139,57642961
1955,2130,Airlift,2016,Raja Menon,"Raja Menon (story), Sonu Sinha (screenplay), Ritesh Shah (screenplay), Suresh Nair (screenplay), Raja Menon (screenplay), Rahul Nangia (screenplay), Ritesh Shah (dialogue)","Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi",Drama,Hindi,India,130,168391
1957,2132,Sultan,2016,Ali Abbas Zafar,Ali Abbas Zafar,"Salman Khan, Anushka Sharma, Kubbra Sait, Randeep Hooda",Action,Hindi,India,170,5248781
1962,2137,LBJ,2016,Rob Reiner,Joey Hartstone (screenplay),"Woody Harrelson, Michael Stahl-David, Richard Jenkins, Jennifer Jason Leigh",Biography,English,USA,98,2359952
1965,2140,The Infiltrator,2016,Brad Furman,"Ellen Sue Brown (screenplay), Robert Mazur (based on the book on)","Bryan Cranston, Leanne Best, Daniel Mays, Tom Vaughan-Lawlor",Biography,English,UK,127,15425870
1973,2148,Dear Zindagi,2016,Gauri Shinde,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley",Drama,Hindi,India,151,1397133
1975,2150,David and Goliath,2016,Wallace Brothers,"Jeffrey Giles (screenplay), Michael Lurie (screenplay)","Matt Berberi, Michael Wayne Foster, John Knox, Rodger Halston",Action,English,USA,75,161000
1976,2151,Batman v Superman: Dawn of Justice,2016,Zack Snyder,"Chris Terrio, David S. Goyer, Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (character created by: Wonder Woman)","Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",Action,English,USA,151,293792936
1978,2153,Porto,2016,Gabe Klinger,"Larry Gross, Gabe Klinger","Anton Yelchin, Lucie Lucas, Paulo Calatre, Francoise Lebrun",Drama,English,Portugal,76,11823
1981,2156,Leap!,2016,"Eric Summer, Eric Warin, Mimi Maynard, Paulette Victor-Lifton","Eric Summer (original idea), Eric Summer (original story), Laurent Zeitoun (original story), Carol Noble (screenplay), Laurent Zeitoun (screenplay), Eric Summer (screenplay)","Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler",Animation,English,France,89,21797758
1985,2160,Greater,2016,David L. Hunt,"Brian Reindl, David L. Hunt","Neal McDonough, Leslie Easterbrook, Christopher Severio, Michael Parks",Biography,English,USA,130,1995407
1988,2164,The Boss,2016,Ben Falcone,"Melissa McCarthy, Ben Falcone, Steve Mallory","Melissa McCarthy, Kristen Bell, Peter Dinklage, Ella Anderson",Comedy,English,USA,99,54489847
1996,2174,Soul on a String,2016,Yang Zhang,"Yang Zhang, Zhaxidawa","Quni Ciren, Kimba, Siano Dudiom Zahi",Drama,Tibetan,China,142,3555
2001,2179,Finding Mr Right 2,2016,Xiaolu Xue,"Mia Jiao, Xiaolu Xue","Wei Tang, Xiubo Wu, Zhihong Liu, Paul Chun",Romance,Mandarin,China,132,222146
2005,2184,Alone in Berlin,2016,Vincent Perez,"Achim von Borries (screenplay), Vincent Perez (screenplay), Bettine von Borries (collaboration on screenplay), Hans Fallada (novel)","Emma Thompson, Brendan Gleeson, Daniel Bruhl, Mikael Persbrandt",Drama,English,UK,103,19428
2008,2187,The Finest Hours,2016,Craig Gillespie,"Scott Silver (screenplay), Paul Tamasy (screenplay), Eric Johnson (screenplay), Casey Sherman (book), Michael J. Tougias (book)","Chris Pine, Casey Affleck, Ben Foster, Eric Bana",Action,English,USA,117,20278493
2014,2193,The Secret Life of Pets,2016,"Chris Renaud, Yarrow Cheney(co-director)","Cinco Paul, Ken Daurio, Brian Lynch","Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate",Animation,English,Japan,87,368305960
2046,2227,The Bad Batch,2016,Ana Lily Amirpour,Ana Lily Amirpour,"Suki Waterhouse, Jason Momoa, Jayda Fink, Keanu Reeves",Drama,English,USA,118,180851
2048,2229,Why Him?,2016,John Hamburg,"John Hamburg (screenplay by), Ian Helfer (screenplay by), Jonah Hill (story by), John Hamburg (story by), Ian Helfer (story by)","Zoey Deutch, James Franco, Tangie Ambrose, Cedric the Entertainer",Comedy,English,USA,111,60312925
2069,2252,Max Steel,2016,Stewart Hendler,Christopher L. Yost,"Ben Winchell, Josh Brener, Maria Bello, Andy Garcia",Action,English,UK,92,3771397
2085,2270,Deadpool,2016,Tim Miller,"Rhett Reese, Paul Wernick","Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer",Action,English,USA,108,328674489
2092,2277,Don't Think Twice,2016,Mike Birbiglia,Mike Birbiglia,"Gillian Jacobs, Mike Birbiglia, Kate Micucci, Tami Sagher",Comedy,English,USA,92,4417983
2096,2281,The Tiger Hunter,2016,Lena Khan,"Sameer Gardezi, Lena Khan","Danny Pudi, Rizwan Manji, Jon Heder, Karen David",Comedy,English,USA,94,39553
2110,2295,Star Trek Beyond,2016,Justin Lin,"Simon Pegg, Doug Jung, Gene Roddenberry (based upon ""Star Trek"" created by)","Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",Action,English,USA,122,158804470
2138,2326,Norm of the North,2016,Trevor Wall,"Daniel Altiere, Steven Altiere, Malcolm T. Goldman","Rob Schneider, Heather Graham, Ken Jeong, Bill Nighy",Animation,English,USA,90,12320716
2139,2327,Office Christmas Party,2016,"Josh Gordon, Will Speck","Jon Lucas (story by), Scott Moore (story by), Timothy Dowling (story by), Justin Malen (screenplay by), Laura Solon (screenplay by), Dan Mazer (screenplay by)","Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston",Comedy,English,USA,105,54730514
2180,2370,Cameraperson,2016,Kirsten Johnson,"Doris Baizley (consulting writer), Lisa Freedman (consulting writer)","Kirsten Johnson, Roger Phenix",Documentary,English,USA,102,101074
2191,2381,Silence,2016,Martin Scorsese,"Jay Cocks (screenplay by), Martin Scorsese (screenplay by), Shusaku Endo (based on the novel by)","Andrew Garfield, Adam Driver, Liam Neeson, Tadanobu Asano",Adventure,English,Mexico,161,7063885
2194,2384,Me Before You,2016,Thea Sharrock,"Jojo Moyes (based on the novel by), Jojo Moyes (screenplay by)","Sam Claflin, Vanessa Kirby, Emilia Clarke, Eileen Dunwoodie",Drama,English,UK,106,56228651
2214,2406,A Quiet Passion,2016,Terence Davies,Terence Davies,"Emma Bell, Sara Vertongen, Rose Williams, Benjamin Wainwright",Biography,English,UK,125,1864266
2265,2458,The Wild Life,2016,"Vincent Kesteloot, Ben Stassen, Mimi Maynard",Domonic Paris,"Matthias Schweighofer, Kaya Yanar, Ilka Bessin, Dieter Hallervorden",Animation,English,Belgium,91,7965609
2266,2459,Slack Bay,2016,Bruno Dumont,"Bruno Dumont (dialogue), Bruno Dumont (screenplay)","Fabrice Luchini, Juliette Binoche, Valeria Bruni Tedeschi, Jean-Luc Vincent",Comedy,French,France,122,112375
2268,2461,The Salesman,2016,Asghar Farhadi,Asghar Farhadi,"Taraneh Alidoosti, Shahab Hosseini, Mina Sadati, Babak Karimi",Drama,Persian,Iran,124,11067
2274,2467,Asura: The City of Madness,2016,Sung-su Kim,Sung-soo Kim,"Woo-sung Jung, Jung-min Hwang, Ji-Hoon Ju, Do-won Kwak",Action,Korean,South Korea,136,174501
2284,2477,Swallows and Amazons,2016,Philippa Lowthorpe,"Andrea Gibb, Arthur Ransome (based on the book by)","Bobby McCulloch, Dane Hughes, Kelly Macdonald, Abbie Glozier",Adventure,English,UK,96,1432146
2285,2478,War on Everyone,2016,John Michael McDonagh,John Michael McDonagh,"Alexander Skarsgard, Michael Pena, Theo James, Tessa Thompson",Action,English,UK,98,187564
2292,2486,I Am Not Madame Bovary,2016,Xiaogang Feng,Zhenyun Liu,"Chengpeng Dong, Bingbing Fan, Wei Fan, Xiaogang Feng",Comedy,Mandarin,China,128,436596
2299,2493,The Legend of Tarzan,2016,David Yates,"Adam Cozad (screenplay by), Craig Brewer (screenplay by), Craig Brewer (story by), Adam Cozad (story by), Edgar Rice Burroughs (based on the ""Tarzan"" stories created by)","Alexander Skarsgard, Rory J. Saper, Christian Stevens, Christoph Waltz",Action,English,UK,110,126585313
2303,2497,Whiskey Tango Foxtrot,2016,"Glenn Ficarra, John Requa","Robert Carlock (screenplay by), Kim Barker (based on the book ""The Taliban Shuffle: Strange Days in Afghanistan and Pakistan"" by)","Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina",Biography,English,USA,112,18356529
2327,2522,Allied,2016,Robert Zemeckis,Steven Knight,"Brad Pitt, Vincent Ebrahim, Xavier de Guillebon, Marion Cotillard",Action,English,UK,124,40069087
2336,2532,Assassin's Creed,2016,Justin Kurzel,"Michael Lesslie (screenplay by), Adam Cooper (screenplay by), Bill Collage (screenplay by)","Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson",Action,English,USA,115,54645723
2348,2545,In a Valley of Violence,2016,Ti West,Ti West,"Ethan Hawke, John Travolta, Taissa Farmiga, James Ransone",Action,English,USA,104,50381
2357,2554,Sausage Party,2016,"Greg Tiernan, Conrad Vernon","Kyle Hunter (screenplay by), Ariel Shaffir (screenplay by), Seth Rogen (screenplay by), Evan Goldberg (screenplay by), Seth Rogen (story by), Evan Goldberg (story by), Jonah Hill (story by)","Alistair Abell, Iris Apatow, Sugar Lyn Beard, Michael Cera",Animation,English,USA,89,97661826
2358,2555,"Kiki, Love to Love",2016,Paco Leon,"Josh Lawson (based on a film by), Paco Leon (screenplay by), Fernando Perez (screenplay by)","Natalia de Molina, Alex Garcia, Jacobo Sanchez, Silvia Rey",Comedy,Spanish,Spain,102,11892
2363,2560,The Best Democracy Money Can Buy,2016,"Greg Palast, David Ambrose(co-director)",Greg Palast,"Leni Badpenny, Richard Belzer, Rosario Dawson, Von Eckardt-Manzoni",Documentary,English,USA,114,28272
