862,Toy Story,16,Animation
862,Toy Story,35,Comedy
862,Toy Story,10751,Family
8844,Jumanji,12,Adventure
8844,Jumanji,14,Fantasy
8844,Jumanji,10751,Family
15602,Grumpier Old Men,10749,Romance
15602,Grumpier Old Men,35,Comedy
31357,Waiting to Exhale,35,Comedy
31357,Waiting to Exhale,18,Drama
31357,Waiting to Exhale,10749,Romance
11862,Father of the Bride Part II,35,Comedy
949,Heat,28,Action
949,Heat,80,Crime
949,Heat,18,Drama
949,Heat,53,Thriller
11860,Sabrina,35,Comedy
11860,Sabrina,10749,Romance
45325,Tom and Huck,28,Action
45325,Tom and Huck,12,Adventure
45325,Tom and Huck,18,Drama
45325,Tom and Huck,10751,Family
9091,Sudden Death,28,Action
9091,Sudden Death,12,Adventure
9091,Sudden Death,53,Thriller
710,GoldenEye,12,Adventure
710,GoldenEye,28,Action
710,GoldenEye,53,Thriller
9087,The American President,35,Comedy
9087,The American President,18,Drama
9087,The American President,10749,Romance
12110,Dracula: Dead and Loving It,35,Comedy
12110,Dracula: Dead and Loving It,27,Horror
21032,Balto,10751,Family
21032,Balto,16,Animation
21032,Balto,12,Adventure
10858,Nixon,36,History
10858,Nixon,18,Drama
1408,Cutthroat Island,28,Action
1408,Cutthroat Island,12,Adventure
524,Casino,18,Drama
524,Casino,80,Crime
4584,Sense and Sensibility,18,Drama
4584,Sense and Sensibility,10749,Romance
5,Four Rooms,80,Crime
5,Four Rooms,35,Comedy
9273,Ace Ventura: When Nature Calls,80,Crime
9273,Ace Ventura: When Nature Calls,35,Comedy
9273,Ace Ventura: When Nature Calls,12,Adventure
11517,Money Train,28,Action
11517,Money Train,35,Comedy
11517,Money Train,80,Crime
8012,Get Shorty,35,Comedy
8012,Get Shorty,53,Thriller
8012,Get Shorty,80,Crime
1710,Copycat,18,Drama
1710,Copycat,53,Thriller
9691,Assassins,28,Action
9691,Assassins,12,Adventure
9691,Assassins,80,Crime
9691,Assassins,53,Thriller
12665,Powder,18,Drama
12665,Powder,14,Fantasy
12665,Powder,878,Science Fiction
12665,Powder,53,Thriller
